"domaine_professionnel","grand_domaine","rome","type_structure","id_structure","nombre_de_fiches_de_poste_en_tension","id","id_asp","structure_id_siae","adresse_ligne_1","adresse_ligne_2","ville","code_commune","code_postal","longitude","latitude","département","région"
F16- Second oeuvre,"F- Construction, Bâtiment et Travaux publics",F1602-Électricien / Électricienne du bâtiment,ETTI,8311,1,8311,2430,2430,"56 Boulevard Michelet","",MARSEILLE 08,"13055","13008",5.392645,43.269005,"13",Provence-Alpes-Côte d'Azur
A14- Production,"A- Agriculture et Pêche, Espaces naturels et Espaces verts, Soins aux animaux",A1402-Aide horticole,ACI,4816,1,4816,1551,1551,"230 Rue de l'Arbrisseau","",LILLE,"59350","59000",3.048678,50.605039,"59",Hauts-de-France
D15- Grande distribution,"D- Commerce, Vente et Grande distribution",D1507-Employé / Employée de libre-service,EI,9467,1,9467,5208,5208,"10 Allee de la Pepiniere",BP 118,ST LAURENT DU MARONI,"97311","97320",-54.028533,5.497058,"973",Guyane
F17- Travaux et gros oeuvre,"F- Construction, Bâtiment et Travaux publics",F1702-Ouvrier / Ouvrière en voiries,ETTI,36,2,36,1671,1671,"232 RUE ROGER SALENGRO","",BRUAY LA BUISSIERE,"62178","62700",2.543672,50.473015,"62",Hauts-de-France
F17- Travaux et gros oeuvre,"F- Construction, Bâtiment et Travaux publics",F1704-Manœuvre bâtiment,ETTI,11213,5,11213,6619,6619,"19 Rue Marcel Brunelière","",MACHECOUL ST MEME,"44087","44270",-1.812808,46.986364,"44",Pays de la Loire
K22- Nettoyage et propreté industriels,K- Services à la personne et à la collectivité,K2204-Agent / Agente de nettoyage industriel,AI,8129,1,8129,789,789,"26 Rue de la Libération",BP 338,LES ANDELYS,"27016","27700",1.416566,49.246154,"27",Normandie
F16- Second oeuvre,"F- Construction, Bâtiment et Travaux publics",F1608-Carreleur / Carreleuse,ETTI,10602,1,10602,6065,6065,Boulevard François Arago,"",CHAURAY,"79081","79180",-0.394541,46.338625,"79",Nouvelle-Aquitaine
F16- Second oeuvre,"F- Construction, Bâtiment et Travaux publics",F1611-Façadier / Façadière,ETTI,2664,1,2664,2718,2718,"423 rue Jean Dausset","",AVIGNON,"84007","84000",4.894891,43.915533,"84",Provence-Alpes-Côte d'Azur
"H29- Mécanique, travail des métaux et outillage",H- Industrie,H2902-Chaudronnier / Chaudronnière,ETTI,7218,1,7218,5679,5679,"12 Impasse Ampère","",LA ROCHE SUR YON,"85191","85000",-1.4399849999999998,46.660499,"85",Pays de la Loire
F16- Second oeuvre,"F- Construction, Bâtiment et Travaux publics",F1613-Étancheur / Étancheuse,ETTI,2826,1,2826,2889,2889,"36 bis Bd de Picpus","",PARIS 12,"75056","75012",2.401622,48.842418,"75",Île-de-France
F16- Second oeuvre,"F- Construction, Bâtiment et Travaux publics",F1603-Plombier / Plombière,ETTI,9307,1,9307,1891,1891,"50 Allée de la Gare","",LE MEE SUR SEINE,"77285","77350",2.626687,48.541934,"77",Île-de-France
K13- Aide à la vie quotidienne,K- Services à la personne et à la collectivité,K1308-Agent territorial spécialisé / Agente territoriale spécialisée des écoles maternelles (ATSEM),AI,5372,4,5372,684,684,"25 Route de Tully","",THONON LES BAINS,"74281","74200",6.493881,46.37177099999999,"74",Auvergne-Rhône-Alpes
F16- Second oeuvre,"F- Construction, Bâtiment et Travaux publics",F1604-Plaquiste,ETTI,1606,2,1606,1608,1608,"15 Allée Paul Sabatier","",TOULOUSE,"31555","31000",1.45517,43.59697,"31",Occitanie
F17- Travaux et gros oeuvre,"F- Construction, Bâtiment et Travaux publics",F1704-Manœuvre bâtiment,ETTI,3907,2,3907,1350,1350,"1 Rue de l'Ouvrage à Cornes","",LA ROCHELLE,"17300","17000",-1.146033,46.155678,"17",Nouvelle-Aquitaine
